favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
66265,Twitter for iPhone,"b'I called Chuck Schumer yesterday to see if the Dems want to do a great HealthCare Bill. ObamaCare is badly broken, big premiums. Who knows!'",,False,Sat Oct 07 12:17:47 +0000 2017,12090,916638685914951680
126936,Twitter for iPhone,"b'I have stated my concerns with Amazon long before the Election. Unlike others, they pay little or no taxes to state\xe2\x80\xa6 https://t.co/ONyVYY2yMe'",,False,Thu Mar 29 11:57:38 +0000 2018,31980,979326715272065024
48720,Twitter for iPhone,b'I will be interviewed by @JudgeJeanine on @FoxNews at 9:00 P.M. Enjoy!',,False,Sun Feb 25 01:00:46 +0000 2018,8277,967564998238142471
91059,Twitter for iPhone,b'NBC news is #FakeNews and more dishonest than even CNN. They are a disgrace to good reporting. No wonder their news ratings are way down!',,False,Wed Oct 04 14:47:53 +0000 2017,20518,915589297096536065
55800,Twitter for iPhone,b'Governor @RicardoRossello- \nWe are with you and the people of Puerto Rico. Stay safe! #PRStrong',,False,Thu Sep 21 03:13:07 +0000 2017,11149,910703407555600386
85518,Twitter for iPhone,"b""Everybody is asking why the Justice Department (and FBI) isn't looking into all of the dishonesty going on with Crooked Hillary &amp; the Dems..""",,False,Fri Nov 03 10:57:47 +0000 2017,22913,926403023861141504
112501,Twitter for iPhone,b'Kim Jong Un of North Korea made a very wise and well reasoned decision. The alternative would have been both catastrophic and unacceptable!',,False,Wed Aug 16 11:39:34 +0000 2017,25378,897784898865553409
74676,Twitter for iPhone,b'New home sales reach a 10 year high. Stock Market has more record gains. Hopefully Republican Senators will give us\xe2\x80\xa6 https://t.co/DrEJ6caWjM',,False,Tue Nov 28 02:48:53 +0000 2017,15360,935339687006429185
86751,Twitter for iPhone,"b'.@FoxNews  Poll numbers plummet on the Democrat inspired and paid for Russian Witch Hunt. With all of the bias, lyi\xe2\x80\xa6 https://t.co/42rEL4UcSF'",,False,Sat Jun 23 11:33:01 +0000 2018,21667,1010485876806348800
78087,Twitter Web Client,"b'Ed Gillespie worked hard but did not embrace me or what I stand for. Don\xe2\x80\x99t forget, Republicans won 4 out of 4 House\xe2\x80\xa6 https://t.co/HODixMtPNw'",,False,Wed Nov 08 01:40:37 +0000 2017,17752,928074747316928513
96626,Twitter for iPhone,"b'Does anybody really believe that a reporter, who nobody ever heard of, ""went to his mailbox"" and found my tax returns? @NBCNews  FAKE NEWS!'",,False,Wed Mar 15 10:55:30 +0000 2017,24021,841966077005463553
108768,Twitter for iPhone,b'\xe2\x80\x9cThe most profound question of our era: Was there a conspiracy in the Obama Department of Justice and the FBI to pr\xe2\x80\xa6 https://t.co/EY5JfbWzmt',,False,Tue Jun 26 13:30:44 +0000 2018,29053,1011602664143106048
92834,Media Studio,b'MAKE AMERICA GREAT AGAIN! https://t.co/NVDVRrWLs4',,False,Sun Jul 09 12:57:58 +0000 2017,23139,884033889613828096
124845,Twitter for iPhone,b'The economy of the United States is stronger than ever before!',,False,Tue Jul 17 14:39:08 +0000 2018,24211,1019230023897833479
48041,Twitter for iPhone,"b""'President Donald J. Trump Approves Emergency Declarations'\n\n\xe2\x9e\xa1\xef\xb8\x8fhttps://t.co/xSHSyNkvuP\n\xe2\x9e\xa1\xef\xb8\x8fhttps://t.co/UbBSFOhMM7\n\xe2\x9e\xa1\xef\xb8\x8f\xe2\x80\xa6 https://t.co/jhfd4ZJ6L3""",,False,Wed Sep 06 17:52:30 +0000 2017,13756,905488897186172928
73101,Twitter for iPad,"b""I've been saying it for a long, long time. #NoKo https://t.co/LQl7tGhMdO""",,False,Thu Dec 28 19:20:47 +0000 2017,25685,946460939578167296
101660,Twitter for iPhone,"b'We are fighting for our farmers, for our country, and for our GREAT AMERICAN FLAG. We want our flag respected - and\xe2\x80\xa6 https://t.co/f8u0wFpaHI'",,False,Mon Jan 08 23:19:47 +0000 2018,20998,950507353094356993
69649,Twitter for iPhone,"b""As a matter of National Security I've signed the Omnibus Spending Bill. I say to Congress: I will NEVER sign anothe\xe2\x80\xa6 https://t.co/0uoQ7HfCVF""",,False,Fri Mar 23 23:01:10 +0000 2018,18643,977319371277156352
44440,Media Studio,"b'Today, it was my honor to welcome Estonia President @KerstiKaljulaid, Lithuania President @Grybauskaite_LT, and Lat\xe2\x80\xa6 https://t.co/2jWXvyGxRS'",,False,Tue Apr 03 19:15:42 +0000 2018,9046,981248899166932994
71811,Twitter for iPhone,"b'Great book just out, ""A Place Called Heaven,"" by Dr. Robert Jeffress - A wonderful man!'",,False,Fri Oct 20 23:52:17 +0000 2017,13573,921524504836395008
99743,Twitter for iPhone,"b'Wow, watch Comey lie under oath to Senator G when asked \xe2\x80\x9chave you ever been an anonymous source...or known someone\xe2\x80\xa6 https://t.co/2GxHCPXrJ3'",,False,Sun Mar 18 12:02:31 +0000 2018,26498,975341676297445377
55086,Twitter for iPhone,b'...The fact is that Puerto Rico has been destroyed by two hurricanes. Big decisions will have to be made as to the cost of its rebuilding!',,False,Fri Sep 29 11:18:55 +0000 2017,10650,913724766208610304
83158,Twitter for iPhone,b'\xe2\x80\x9cThe President has accomplished some absolutely historic things during this past year.\xe2\x80\x9d Thank you Charlie Kirk of T\xe2\x80\xa6 https://t.co/M7G4m0QqmO',,False,Fri Dec 22 14:17:04 +0000 2017,17798,944210183089254400
36911,Twitter for iPhone,b'Healthcare listening session w/ @VP &amp; @SecPriceMD. Watch: https://t.co/5ayQ4dr8Ip #ReadTheBill:\xe2\x80\xa6 https://t.co/1cQI0ZBUv8',,False,Mon Mar 13 17:20:15 +0000 2017,6452,841338126316511233
73159,Twitter for iPhone,"b'James Comey better hope that there are no ""tapes"" of our conversations before he starts leaking to the press!'",,False,Fri May 12 12:26:15 +0000 2017,24531,863007411132649473
